Time,U_SA,I_SA,P_SA,U_Load_output,I_Load_output,P_Load_output,U_BCR,I_BCR,P_BCR,U_BAT2,I_BAT2,T_BAT2,U_BAT3,I_BAT3,T_BAT3,U_BAT4,I_BAT4,T_BAT4,U_Bus,I_Bus,P_Bus,U_Load1,I_Load1,T_Load1,P_Load1,U_Load2,I_Load2,T_Load2,P_Load2,U_Load3,I_Load3,T_Load3,P_Load3
2024/9/19 17:08,0.2389,0.0004,0,0,0,0,16.434,0,0,16.414,0.019,28.5,16.415,0.019,28.3,16.413,0.018,28,16.375,0,0,12.117,0,30.3,0,5.3,0,31,0,5.41,0,31.8,0
2024/9/19 17:08,23.953,2.5038,60,0,0,0,16.768,3.379,56.659,16.72,-0.663,28.4,16.718,-0.673,28.3,16.716,-0.69,28,16.687,0,0,12.115,0,30.3,0,5.3,0,30.8,0,5.41,0,31.8,0
2024/9/19 17:09,23.875,2.5123,60,0,0,0,16.797,3.374,56.673,16.749,-0.663,28.4,16.748,-0.672,28.3,16.744,-0.688,28,16.716,0,0,12.114,0,30.3,0,5.3,0,30.8,0,5.41,0,31.5,0
2024/9/19 17:09,25.687,2.2708,58.3,0,0,0,16.812,3.305,55.564,16.763,-0.647,28.4,16.761,-0.655,28.3,16.76,-0.669,28,16.731,0,0,12.113,0,30.3,0,5.3,0,30.8,0,5.41,0.003,31.5,0.016
2024/9/19 17:09,26.647,2.0805,55.4,0,0,0,16.813,3.135,52.709,16.764,-0.613,28.4,16.762,-0.622,28.3,16.76,-0.634,28,16.732,0,0,12.114,0,30.3,0,5.3,0,30.8,0,5.41,0.003,31.5,0.016
2024/9/19 17:09,27.083,1.9597,53.1,0,0,0,16.813,3.012,50.641,16.767,-0.589,28.4,16.765,-0.598,28.3,16.762,-0.608,28.1,16.733,0.006,0.1,12.113,0,30,0,5.3,0,30.8,0,5.41,0.003,31.5,0.016
2024/9/19 17:09,27.394,1.8743,51.3,0,0,0,16.813,2.897,48.707,16.769,-0.569,28.4,16.766,-0.577,28.3,16.764,-0.587,28,16.734,0,0,12.112,0,30,0,5.299,0,30.8,0,5.409,0,31.5,0
2024/9/19 17:10,27.604,1.8041,49.8,0,0,0,16.813,2.811,47.261,16.767,-0.55,28.4,16.765,-0.559,28.3,16.765,-0.568,28.1,16.734,0.006,0.1,12.113,0,30,0,5.3,0,30.5,0,5.409,0.003,31.5,0.016
2024/9/19 17:10,27.781,1.7427,48.4,0,0,0,16.815,2.743,46.124,16.768,-0.535,28.5,16.768,-0.542,28.3,16.764,-0.55,28.1,16.735,0.006,0.1,12.112,0,30,0,5.299,0,30.5,0,5.409,0.003,31.3,0.016
2024/9/19 17:10,27.998,1.6831,47.1,0,0,0,16.814,2.655,44.641,16.769,-0.519,28.4,16.768,-0.527,28.3,16.766,-0.534,28.1,16.736,0,0,12.113,0,30,0,5.299,0,30.5,0,5.41,0,31.3,0
2024/9/19 17:10,28.104,1.6292,45.8,0,0,0,16.814,2.589,43.531,16.771,-0.505,28.4,16.77,-0.513,28.3,16.767,-0.52,28.1,16.736,0.006,0.1,12.113,0,30,0,5.3,0,30.5,0,5.409,0.003,31.3,0.016
