Time,Irradiation,Temperature,Incidence_Angle,Load_Signal
2024-09-19 17:08:48,1000,25,0,0
2024-09-19 17:08:50,1000,25,0,0
2024-09-19 17:08:52,1000,25,0,0
2024-09-19 17:08:54,1000,25,0,0
2024-09-19 17:08:57,1000,25,0,0
2024-09-19 17:08:59,1000,25,0,0
2024-09-19 17:09:01,1000,25,0,0
2024-09-19 17:09:03,1000,25,0,0
2024-09-19 17:09:05,1000,25,0,0
2024-09-19 17:09:07,1000,25,0,0
2024-09-19 17:09:09,1000,25,0,0
2024-09-19 17:09:11,1000,25,0,0
2024-09-19 17:09:13,1000,25,0,0
2024-09-19 17:09:15,1000,25,0,0
2024-09-19 17:09:17,1000,25,0,0
2024-09-19 17:09:19,1000,25,0,0
2024-09-19 17:09:21,1000,25,0,0
2024-09-19 17:09:23,1000,25,0,0
2024-09-19 17:09:25,1000,25,0,0
2024-09-19 17:09:27,1000,25,0,0
2024-09-19 17:09:29,1000,25,0,0
2024-09-19 17:09:31,1000,25,0,0
2024-09-19 17:09:33,1000,25,0,0
2024-09-19 17:09:35,1000,25,0,0
2024-09-19 17:09:37,1000,25,0,0
2024-09-19 17:09:40,1000,25,0,0
2024-09-19 17:09:42,1000,25,0,0
2024-09-19 17:09:44,1000,25,0,0
2024-09-19 17:09:46,1000,25,0,0
2024-09-19 17:09:48,1000,25,0,0
2024-09-19 17:09:50,1000,25,0,0
2024-09-19 17:09:52,1000,25,0,0
2024-09-19 17:09:54,1000,25,0,0
2024-09-19 17:09:56,1000,25,0,0
2024-09-19 17:09:58,1000,25,0,0
2024-09-19 17:10:00,1000,25,0,0
2024-09-19 17:10:02,1000,25,0,0
2024-09-19 17:10:04,1000,25,0,0
2024-09-19 17:10:06,1000,25,0,0
2024-09-19 17:10:08,1000,25,0,0
2024-09-19 17:10:10,1000,25,0,0
2024-09-19 17:10:12,1000,25,0,0
2024-09-19 17:10:14,1000,25,0,0
2024-09-19 17:10:16,1000,25,0,0
2024-09-19 17:10:18,1000,25,0,0
2024-09-19 17:10:20,1000,25,0,0
2024-09-19 17:10:23,1000,25,0,0
2024-09-19 17:10:25,1000,25,0,0
2024-09-19 17:10:27,1000,25,0,0
2024-09-19 17:10:29,1000,25,0,0
2024-09-19 17:10:31,1000,25,0,0
2024-09-19 17:10:33,1000,25,0,0
2024-09-19 17:10:35,1000,25,0,0
